Transaction Date,ATM Name,No Of Withdrawals,Amount withdrawn Card,Amount withdrawn Other Card,Total amount Withdrawn
2014-02-18,Big Street ATM,35,513140,67950,581090
2014-02-19,Big Street ATM,15,175770,49050,224820
2014-02-20,Big Street ATM,20,53060,193050,246110
2014-02-21,Big Street ATM,23,195210,72000,267210
2014-02-22,Big Street ATM,35,379890,219150,599040
2014-02-23,Big Street ATM,31,231260,156600,387860
2014-02-24,Big Street ATM,30,136080,184950,321030
2014-02-25,Big Street ATM,22,104900,35100,140000
2014-02-26,Big Street ATM,23,211000,303750,514750
2014-02-27,Big Street ATM,15,45760,30150,75910
2014-02-28,Big Street ATM,39,282690,356400,639090
2014-03-01,Big Street ATM,29,264870,181800,446670
2014-03-02,Big Street ATM,37,270140,344700,614840
2014-03-03,Big Street ATM,29,167670,304650,472320
2014-03-04,Big Street ATM,41,412060,331700,743760
2014-03-05,Big Street ATM,39,402300,128500,530800
2014-03-06,Big Street ATM,42,244940,248540,493480
2014-03-07,Big Street ATM,28,314260,176720,490980
2014-03-08,Big Street ATM,45,347000,249480,596480
2014-03-09,Big Street ATM,32,606410,144110,750520
2014-03-10,Big Street ATM,25,409050,119700,528750
2014-03-11,Big Street ATM,27,202900,270450,473350
2014-03-12,Big Street ATM,30,216020,94630,310650
2014-03-13,Big Street ATM,41,308200,263700,571900
2014-03-14,Big Street ATM,25,203310,116550,319860
2014-03-15,Big Street ATM,33,171320,310050,481370
2014-03-16,Big Street ATM,38,274590,285300,559890
2014-03-17,Big Street ATM,23,256360,58500,314860
2014-03-18,Big Street ATM,27,270540,137700,408240
2014-03-19,Big Street ATM,32,174150,230850,405000
2014-03-20,Big Street ATM,6,13360,26550,39910
2014-03-21,Big Street ATM,27,268920,148500,417420
2014-03-22,Big Street ATM,27,51030,157500,208530
2014-03-23,Big Street ATM,15,184280,32850,217130
2014-03-24,Big Street ATM,16,72900,72000,144900
2014-03-25,Big Street ATM,26,115830,41850,157680
2014-03-26,Big Street ATM,17,78160,99000,177160
2014-03-27,Big Street ATM,41,260010,110700,370710
2014-03-28,Big Street ATM,32,531760,58050,589810
2014-03-29,Big Street ATM,30,172530,297000,469530
2014-03-30,Big Street ATM,32,258800,208350,467150
2014-03-31,Big Street ATM,39,283500,278100,561600
2014-04-01,Big Street ATM,43,307400,264600,572000
2014-04-02,Big Street ATM,31,369360,176850,546210
2014-04-03,Big Street ATM,56,389200,637650,1026850
2014-04-04,Big Street ATM,20,230920,220660,451580
2014-04-05,Big Street ATM,39,702360,223260,925620
2014-04-06,Big Street ATM,33,283220,230580,513800
2014-04-07,Big Street ATM,23,144160,358630,502790
2014-04-08,Big Street ATM,28,339780,201280,541060
2014-04-09,Big Street ATM,42,532830,143170,676000
2014-04-10,Big Street ATM,42,298080,175950,474030
2014-04-11,Big Street ATM,41,407020,183600,590620
2014-04-12,Big Street ATM,31,236850,189660,426510
2014-04-13,Big Street ATM,56,476680,408600,885280
2014-04-14,Big Street ATM,30,240980,207450,448430
2014-04-15,Big Street ATM,29,262040,113850,375890
2014-04-16,Big Street ATM,25,6480,299250,305730
2014-04-17,Big Street ATM,38,340200,85500,425700
2014-04-18,Big Street ATM,32,501390,135900,637290
2014-04-19,Big Street ATM,27,247860,139050,386910
2014-04-20,Big Street ATM,40,466160,253350,719510
2014-04-21,Big Street ATM,34,298480,211500,509980
2014-04-22,Big Street ATM,24,202100,108000,310100
2014-04-23,Big Street ATM,35,353560,112500,466060
2014-04-24,Big Street ATM,36,185900,153000,338900
2014-04-25,Big Street ATM,27,143370,162900,306270
2014-04-26,Big Street ATM,17,160380,101250,261630
2014-04-27,Big Street ATM,30,302940,23850,326790
2014-04-28,Big Street ATM,32,243400,78750,322150
2014-04-29,Big Street ATM,20,267700,92700,360400
2014-04-30,Big Street ATM,14,72500,20250,92750
2014-05-01,Big Street ATM,23,76950,185400,262350
2014-05-02,Big Street ATM,23,327640,160200,487840
2014-05-03,Big Street ATM,22,336960,63000,399960
2014-05-04,Big Street ATM,18,144160,89780,233940
2014-05-05,Big Street ATM,32,253620,269890,523510
2014-05-06,Big Street ATM,22,310000,209790,519790
2014-05-07,Big Street ATM,28,451180,153560,604740
2014-05-08,Big Street ATM,31,317670,124270,441940
2014-05-09,Big Street ATM,29,183290,106310,289600
2014-05-10,Big Street ATM,45,376650,500400,877050
2014-05-11,Big Street ATM,31,278640,207450,486090
2014-05-12,Big Street ATM,23,263170,117780,380950
2014-05-13,Big Street ATM,22,101250,127350,228600
2014-05-14,Big Street ATM,15,102460,178650,281110
2014-05-15,Big Street ATM,18,117860,126900,244760
2014-05-16,Big Street ATM,31,167670,164250,331920
2014-05-17,Big Street ATM,23,156330,126450,282780
2014-05-18,Big Street ATM,28,313880,242550,556430
2014-05-19,Big Street ATM,39,258390,445050,703440
2014-05-20,Big Street ATM,29,596970,212850,809820
2014-05-21,Big Street ATM,36,229640,187200,416840
2014-05-22,Big Street ATM,35,200880,167850,368730
2014-05-23,Big Street ATM,33,184280,276750,461030
2014-05-24,Big Street ATM,34,359640,144000,503640
2014-05-25,Big Street ATM,55,369360,716400,1085760
2014-05-26,Big Street ATM,65,449960,703350,1153310
2014-05-27,Big Street ATM,39,405810,274500,680310
2014-05-28,Big Street ATM,29,498560,111600,610160
2014-05-29,Big Street ATM,32,144580,148500,293080
2014-05-30,Big Street ATM,33,356000,220050,576050
2014-05-31,Big Street ATM,34,308200,259650,567850
2014-06-01,Big Street ATM,34,331290,246150,577440
2014-06-02,Big Street ATM,30,228020,239850,467870
2014-06-03,Big Street ATM,25,266490,265050,531540
2014-06-04,Big Street ATM,34,470760,465880,936640
2014-06-05,Big Street ATM,29,222820,160250,383070
2014-06-06,Big Street ATM,33,269610,303820,573430
2014-06-07,Big Street ATM,27,186260,293900,480160
2014-06-08,Big Street ATM,32,154790,343510,498300
2014-06-09,Big Street ATM,35,279810,500380,780190
2014-06-10,Big Street ATM,39,356400,150750,507150
2014-06-11,Big Street ATM,14,135680,104400,240080
2014-06-12,Big Street ATM,29,227720,256670,484390
2014-06-13,Big Street ATM,42,419580,320400,739980
2014-06-14,Big Street ATM,20,116240,198000,314240
2014-06-15,Big Street ATM,23,196420,182700,379120
2014-06-16,Big Street ATM,34,433350,168750,602100
2014-06-17,Big Street ATM,23,192380,183150,375530
2014-06-18,Big Street ATM,43,208170,301950,510120
2014-06-19,Big Street ATM,45,237330,359550,596880
2014-06-20,Big Street ATM,34,473040,143550,616590
2014-06-21,Big Street ATM,51,318330,420300,738630
2014-06-22,Big Street ATM,28,312260,124650,436910
2014-06-23,Big Street ATM,36,343440,214650,558090
2014-06-24,Big Street ATM,44,545130,281250,826380
2014-06-25,Big Street ATM,23,289980,236250,526230
2014-06-26,Big Street ATM,35,127580,105300,232880
2014-06-27,Big Street ATM,20,207760,113400,321160
2014-06-28,Big Street ATM,35,196830,632250,829080
2014-06-29,Big Street ATM,33,81400,494550,575950
2014-06-30,Big Street ATM,28,321980,97200,419180
2014-07-01,Big Street ATM,38,346280,329850,676130
2014-07-02,Big Street ATM,36,168080,119250,287330
2014-07-03,Big Street ATM,40,339390,177300,516690
2014-07-04,Big Street ATM,33,194760,224910,419670
2014-07-05,Big Street ATM,32,239770,299160,538930
2014-07-06,Big Street ATM,34,267910,158760,426670
2014-07-07,Big Street ATM,33,385710,170570,556280
2014-07-08,Big Street ATM,31,198600,317050,515650
2014-07-09,Big Street ATM,25,321910,106310,428220
2014-07-10,Big Street ATM,33,460080,224550,684630
2014-07-11,Big Street ATM,27,253940,160650,414590
2014-07-12,Big Street ATM,23,307390,10560,317950
2014-07-13,Big Street ATM,28,199260,254250,453510
2014-07-14,Big Street ATM,14,0,218700,218700
2014-07-15,Big Street ATM,19,64800,366750,431550
2014-07-16,Big Street ATM,27,283100,235800,518900
2014-07-17,Big Street ATM,20,167670,54000,221670
2014-07-18,Big Street ATM,15,407430,0,407430
2014-07-19,Big Street ATM,20,202500,11250,213750
2014-07-20,Big Street ATM,38,382320,288000,670320
2014-07-21,Big Street ATM,38,175360,227250,402610
2014-07-22,Big Street ATM,39,183870,344250,528120
2014-07-23,Big Street ATM,33,226800,221850,448650
2014-07-24,Big Street ATM,47,168480,469800,638280
2014-07-25,Big Street ATM,34,216270,186750,403020
2014-07-26,Big Street ATM,36,335340,235350,570690
2014-07-27,Big Street ATM,24,251100,114300,365400
2014-07-28,Big Street ATM,32,330480,124200,454680
2014-07-29,Big Street ATM,40,204930,358650,563580
2014-07-30,Big Street ATM,42,362480,333450,695930
2014-07-31,Big Street ATM,68,245430,462150,707580
2014-08-01,Big Street ATM,57,509490,751050,1260540
2014-08-02,Big Street ATM,67,274590,792900,1067490
2014-08-03,Big Street ATM,72,415530,936450,1351980
2014-08-04,Big Street ATM,57,329990,939330,1269320
2014-08-05,Big Street ATM,57,309430,602300,911730
2014-08-06,Big Street ATM,85,423550,1151010,1574560
2014-08-07,Big Street ATM,70,322340,716310,1038650
2014-08-08,Big Street ATM,67,429070,1118410,1547480
2014-08-09,Big Street ATM,71,582160,627480,1209640
2014-08-10,Big Street ATM,37,658120,197550,855670
2014-08-11,Big Street ATM,47,796640,58950,855590
2014-08-12,Big Street ATM,29,325680,163670,489350
2014-08-13,Big Street ATM,26,184680,127350,312030
2014-08-14,Big Street ATM,34,220320,197550,417870
2014-08-15,Big Street ATM,4,117450,0,117450
2014-08-16,Big Street ATM,14,78160,51750,129910
2014-08-17,Big Street ATM,24,308610,42300,350910
2014-08-18,Big Street ATM,25,247860,190350,438210
2014-08-19,Big Street ATM,22,105700,99450,205150
2014-08-20,Big Street ATM,36,310230,111150,421380
2014-08-21,Big Street ATM,35,136480,429300,565780
2014-08-22,Big Street ATM,31,224780,144000,368780
2014-08-23,Big Street ATM,42,270940,306900,577840
2014-08-24,Big Street ATM,32,243810,168300,412110
2014-08-25,Big Street ATM,29,397300,122850,520150
2014-08-26,Big Street ATM,34,342220,108000,450220
2014-08-27,Big Street ATM,31,74120,203400,277520
2014-08-28,Big Street ATM,14,232880,40500,273380
2014-08-29,Big Street ATM,38,238140,199350,437490
2014-08-30,Big Street ATM,42,437400,165600,603000
2014-08-31,Big Street ATM,36,339800,216900,556700
2014-09-01,Big Street ATM,35,311260,184250,495510
2014-09-02,Big Street ATM,34,598670,196650,795320
2014-09-03,Big Street ATM,29,327430,264200,591630
2014-09-04,Big Street ATM,67,477100,511270,988370
2014-09-05,Big Street ATM,36,544240,352550,896790
2014-09-06,Big Street ATM,27,313490,140950,454440
2014-09-07,Big Street ATM,38,237540,236560,474100
2014-09-08,Big Street ATM,38,289650,279200,568850
2014-09-09,Big Street ATM,23,333280,104140,437420
2014-09-10,Big Street ATM,32,111580,165020,276600
2014-09-11,Big Street ATM,39,152360,374060,526420
2014-09-12,Big Street ATM,20,268410,61340,329750
2014-09-13,Big Street ATM,44,626370,170140,796510
2014-09-14,Big Street ATM,31,323190,149200,472390
2014-09-15,Big Street ATM,27,269700,192380,462080
2014-09-16,Big Street ATM,43,387450,404840,792290
2014-09-17,Big Street ATM,41,220080,272740,492820
2014-09-18,Big Street ATM,36,273170,181690,454860
2014-09-19,Big Street ATM,35,313960,220590,534550
2014-09-20,Big Street ATM,33,319730,146200,465930
2014-09-21,Big Street ATM,25,283940,50440,334380
2014-09-22,Big Street ATM,23,138130,68400,206530
2014-09-23,Big Street ATM,34,334340,81650,415990
2014-09-24,Big Street ATM,28,135810,146200,282010
2014-09-25,Big Street ATM,40,393980,185540,579520
2014-09-26,Big Street ATM,18,75030,53440,128470
2014-09-27,Big Street ATM,44,327810,321480,649290
2014-09-28,Big Street ATM,42,147740,474100,621840
2014-09-29,Big Street ATM,28,161980,117140,279120
2014-09-30,Big Street ATM,35,556350,141500,697850
2014-10-01,Big Street ATM,53,897030,242710,1139740
2014-10-02,Big Street ATM,43,295760,442460,738220
2014-10-03,Big Street ATM,22,447580,88490,536070
2014-10-04,Big Street ATM,23,228390,120630,349020
2014-10-05,Big Street ATM,39,586920,212810,799730
2014-10-06,Big Street ATM,28,205880,148880,354760
2014-10-07,Big Street ATM,14,136930,46190,183120
2014-10-08,Big Street ATM,44,677310,391230,1068540
2014-10-09,Big Street ATM,45,705190,201590,906780
2014-10-10,Big Street ATM,41,708870,273240,982110
2014-10-11,Big Street ATM,30,300400,215800,516200
2014-10-12,Big Street ATM,39,513650,512350,1026000
2014-10-13,Big Street ATM,36,556580,186820,743400
2014-10-14,Big Street ATM,44,473660,424350,898010
2014-10-15,Big Street ATM,52,432220,418140,850360
2014-10-16,Big Street ATM,41,314850,392780,707630
2014-10-17,Big Street ATM,24,339070,151110,490180
2014-10-18,Big Street ATM,35,537000,108160,645160
2014-10-19,Big Street ATM,49,301810,592020,893830
2014-10-20,Big Street ATM,16,140180,151630,291810
2014-10-21,Big Street ATM,36,289700,242190,531890
2014-10-22,Big Street ATM,29,205860,241670,447530
2014-10-23,Big Street ATM,34,370740,365870,736610
2014-10-24,Big Street ATM,37,626430,165600,792030
2014-10-25,Big Street ATM,53,428950,604440,1033390
2014-10-26,Big Street ATM,24,212380,110740,323120
2014-10-27,Big Street ATM,16,116910,155250,272160
2014-10-28,Big Street ATM,28,179780,363280,543060
2014-10-29,Big Street ATM,33,220290,200790,421080
2014-10-30,Big Street ATM,37,276660,146450,423110
2014-10-31,Big Street ATM,23,193290,242190,435480
2014-11-01,Big Street ATM,38,595650,333630,929280
2014-11-02,Big Street ATM,41,820110,301570,1121680
2014-11-03,Big Street ATM,38,460670,203220,663890
2014-11-04,Big Street ATM,44,658290,288700,946990
2014-11-05,Big Street ATM,41,211880,469670,681550
2014-11-06,Big Street ATM,30,280360,378840,659200
2014-11-07,Big Street ATM,12,147380,61620,209000
2014-11-08,Big Street ATM,28,486280,100420,586700
2014-11-09,Big Street ATM,32,489350,262450,751800
2014-11-10,Big Street ATM,37,428400,186380,614780
2014-11-11,Big Street ATM,34,164320,372760,537080
2014-11-12,Big Street ATM,41,173450,384470,557920
2014-11-13,Big Street ATM,15,175570,49990,225560
2014-11-14,Big Street ATM,16,30820,163010,193830
2014-11-15,Big Street ATM,36,176050,347760,523810
2014-11-16,Big Street ATM,25,297820,92920,390740
2014-11-17,Big Street ATM,37,376060,265170,641230
2014-11-18,Big Street ATM,28,459700,221700,681400
2014-11-19,Big Street ATM,24,218600,102700,321300
2014-11-20,Big Street ATM,37,330590,267340,597930
2014-11-21,Big Street ATM,32,418620,273320,691940
2014-11-22,Big Street ATM,36,296850,163010,459860
2014-11-23,Big Street ATM,25,100250,365150,465400
2014-11-24,Big Street ATM,25,215660,170620,386280
2014-11-25,Big Street ATM,33,187790,385800,573590
2014-11-26,Big Street ATM,48,475340,427090,902430
2014-11-27,Big Street ATM,27,137910,95090,233000
2014-11-28,Big Street ATM,27,150140,357000,507140
2014-11-29,Big Street ATM,35,315920,275490,591410
2014-11-30,Big Street ATM,34,461170,135300,596470
2014-12-01,Big Street ATM,28,346050,224740,570790
2014-12-02,Big Street ATM,43,491600,351260,842860
2014-12-03,Big Street ATM,41,133510,506540,640050
2014-12-04,Big Street ATM,74,450080,821510,1271590
2014-12-05,Big Street ATM,46,414500,697400,1111900
2014-12-06,Big Street ATM,52,281300,678250,959550
2014-12-07,Big Street ATM,39,299590,331830,631420
2014-12-08,Big Street ATM,38,110640,429250,539890
2014-12-09,Big Street ATM,50,381630,452170,833800
2014-12-10,Big Street ATM,39,552780,154290,707070
2014-12-11,Big Street ATM,41,214770,283780,498550
2014-12-12,Big Street ATM,36,384030,218500,602530
2014-12-13,Big Street ATM,44,208530,180090,388620
2014-12-14,Big Street ATM,37,322380,208370,530750
2014-12-15,Big Street ATM,54,375960,515970,891930
2014-12-16,Big Street ATM,25,167450,288250,455700
2014-12-17,Big Street ATM,46,704600,273860,978460
2014-12-18,Big Street ATM,38,241120,221270,462390
2014-12-19,Big Street ATM,28,221030,313550,534580
2014-12-20,Big Street ATM,36,559930,106670,666600
2014-12-21,Big Street ATM,33,179950,309080,489030
2014-12-22,Big Street ATM,46,567960,295690,863650
2014-12-23,Big Street ATM,65,609480,486700,1096180
2014-12-24,Big Street ATM,35,144670,285770,430440
2014-12-25,Big Street ATM,42,320140,283780,603920
2014-12-26,Big Street ATM,42,583600,443540,1027140
2014-12-27,Big Street ATM,37,254960,314540,569500
2014-12-28,Big Street ATM,35,194240,224740,418980
2014-12-29,Big Street ATM,37,387570,144870,532440
2014-12-30,Big Street ATM,13,62950,132460,195410
2014-12-31,Big Street ATM,22,138420,174640,313060
2015-01-01,Big Street ATM,47,377860,452250,830110
2015-01-02,Big Street ATM,30,251100,140850,391950
2015-01-03,Big Street ATM,40,366930,230850,597780
2015-01-04,Big Street ATM,38,747590,146480,894070
2015-01-05,Big Street ATM,58,1097080,179100,1276180
2015-01-06,Big Street ATM,35,305760,118120,423880
2015-01-07,Big Street ATM,25,486070,66150,552220
2015-01-08,Big Street ATM,40,363590,158760,522350
2015-01-09,Big Street ATM,41,526460,202230,728690
2015-01-10,Big Street ATM,64,362070,533700,895770
2015-01-11,Big Street ATM,56,551200,288450,839650
2015-01-12,Big Street ATM,38,390730,182760,573490
2015-01-13,Big Street ATM,24,169700,93600,263300
2015-01-14,Big Street ATM,49,249480,335700,585180
2015-01-15,Big Street ATM,46,244620,243900,488520
2015-01-16,Big Street ATM,46,541480,117000,658480
2015-01-17,Big Street ATM,36,421600,118800,540400
2015-01-18,Big Street ATM,38,722520,116550,839070
2015-01-19,Big Street ATM,40,417560,172350,589910
2015-01-20,Big Street ATM,28,477090,146250,623340
2015-01-21,Big Street ATM,41,651640,145350,796990
2015-01-22,Big Street ATM,38,329670,114750,444420
2015-01-23,Big Street ATM,53,448740,562950,1011690
2015-01-24,Big Street ATM,35,234500,255600,490100
2015-01-25,Big Street ATM,48,607900,183600,791500
2015-01-26,Big Street ATM,33,353970,226800,580770
2015-01-27,Big Street ATM,40,356800,157500,514300
2015-01-28,Big Street ATM,38,276620,312300,588920
2015-01-29,Big Street ATM,43,266080,413550,679630
2015-01-30,Big Street ATM,56,726570,280350,1006920
2015-01-31,Big Street ATM,45,234090,449550,683640
2015-02-01,Big Street ATM,45,364100,378000,742100
2015-02-02,Big Street ATM,50,498960,423450,922410
2015-02-03,Big Street ATM,37,719280,138150,857430
2015-02-04,Big Street ATM,39,195200,380840,576040
2015-02-05,Big Street ATM,38,498750,184060,682810
2015-02-06,Big Street ATM,33,322770,166320,489090
2015-02-07,Big Street ATM,47,468620,351540,820160
2015-02-08,Big Street ATM,38,467780,410130,877910
2015-02-09,Big Street ATM,46,496270,280660,776930
2015-02-10,Big Street ATM,48,666630,314550,981180
2015-02-11,Big Street ATM,52,634230,470700,1104930
2015-02-12,Big Street ATM,53,379030,268850,647880
2015-02-13,Big Street ATM,46,337770,412650,750420
2015-02-14,Big Street ATM,41,645980,105300,751280
2015-02-15,Big Street ATM,65,596970,583650,1180620
2015-02-16,Big Street ATM,34,436590,203400,639990
2015-02-17,Big Street ATM,38,348700,341550,690250
2015-02-18,Big Street ATM,35,275800,177750,453550
2015-02-19,Big Street ATM,28,149850,98550,248400
2015-02-20,Big Street ATM,9,16200,52200,68400
2015-02-21,Big Street ATM,53,460890,420750,881640
2015-02-22,Big Street ATM,39,179820,283050,462870
2015-02-23,Big Street ATM,45,335340,177300,512640
2015-02-24,Big Street ATM,41,276210,150300,426510
2015-02-25,Big Street ATM,47,406620,242550,649170
2015-02-26,Big Street ATM,52,311440,261000,572440
2015-02-27,Big Street ATM,34,305370,156600,461970
2015-02-28,Big Street ATM,49,713610,196650,910260
2015-02-28,Big Street ATM,40,486000,117450,603450
2015-03-01,Big Street ATM,16,121900,76950,198850
2015-03-02,Big Street ATM,2,48600,0,48600
2015-03-03,Big Street ATM,43,456440,325800,782240
2015-03-04,Big Street ATM,48,423130,195620,618750
2015-03-05,Big Street ATM,33,223700,363160,586860
2015-03-06,Big Street ATM,58,645530,574090,1219620
2015-03-07,Big Street ATM,43,442260,260820,703080
2015-03-08,Big Street ATM,25,229640,298150,527790
2015-03-09,Big Street ATM,46,281520,627950,909470
2015-03-10,Big Street ATM,35,282280,423900,706180
2015-03-11,Big Street ATM,28,296860,148950,445810
2015-03-12,Big Street ATM,44,472600,138080,610680
2015-03-13,Big Street ATM,50,481950,344250,826200
2015-03-14,Big Street ATM,36,634640,381150,1015790
2015-03-15,Big Street ATM,59,660560,274950,935510
2015-03-16,Big Street ATM,39,400540,124200,524740
2015-03-17,Big Street ATM,45,318740,301950,620690
2015-03-18,Big Street ATM,31,247860,151650,399510
2015-03-19,Big Street ATM,27,301320,87300,388620
2015-03-20,Big Street ATM,49,560520,393300,953820
2015-03-21,Big Street ATM,44,253120,254250,507370
2015-03-22,Big Street ATM,62,765860,291150,1057010
2015-03-23,Big Street ATM,45,279450,249300,528750
2015-03-24,Big Street ATM,40,413500,243000,656500
2015-03-25,Big Street ATM,40,235300,386550,621850
2015-03-26,Big Street ATM,38,449550,193050,642600
2015-03-27,Big Street ATM,33,219510,121050,340560
2015-03-28,Big Street ATM,38,174560,186750,361310
2015-03-29,Big Street ATM,43,310230,189450,499680
2015-03-30,Big Street ATM,53,509490,380700,890190
2015-03-31,Big Street ATM,57,432940,585450,1018390
2015-04-01,Big Street ATM,44,581580,170550,752130
2015-04-02,Big Street ATM,36,513940,122400,636340
2015-04-03,Big Street ATM,40,500580,478350,978930
2015-04-04,Big Street ATM,64,674450,498960,1173410
2015-04-05,Big Street ATM,32,707720,123040,830760
2015-04-06,Big Street ATM,29,269180,374220,643400
2015-04-07,Big Street ATM,41,421850,223960,645810
2015-04-08,Big Street ATM,36,366140,197030,563170
2015-04-09,Big Street ATM,42,555380,316100,871480
2015-04-10,Big Street ATM,48,1049760,161550,1211310
2015-04-11,Big Street ATM,48,606280,485550,1091830
2015-04-12,Big Street ATM,26,463830,76350,540180
2015-04-13,Big Street ATM,46,622080,324000,946080
2015-04-14,Big Street ATM,44,779620,417600,1197220
2015-04-15,Big Street ATM,42,945680,337050,1282730
2015-04-16,Big Street ATM,26,116240,241200,357440
2015-04-17,Big Street ATM,6,151880,2250,154130
2015-04-18,Big Street ATM,27,244220,69300,313520
2015-04-19,Big Street ATM,31,346680,184950,531630
2015-04-20,Big Street ATM,41,234090,244800,478890
2015-04-21,Big Street ATM,51,408640,449550,858190
2015-04-22,Big Street ATM,37,332100,241650,573750
2015-04-23,Big Street ATM,36,309020,92250,401270
2015-04-24,Big Street ATM,24,437000,58950,495950
2015-04-25,Big Street ATM,28,184280,184950,369230
2015-04-26,Big Street ATM,55,358420,378000,736420
2015-04-27,Big Street ATM,37,608720,237150,845870
2015-04-28,Big Street ATM,39,170500,386550,557050
2015-04-29,Big Street ATM,21,245020,56250,301270
2015-04-30,Big Street ATM,6,113800,11250,125050
2015-05-01,Big Street ATM,34,121500,559350,680850
2015-05-02,Big Street ATM,31,685660,2250,687910
2015-05-03,Big Street ATM,36,429300,82350,511650
2015-05-04,Big Street ATM,37,556650,203650,760300
2015-05-05,Big Street ATM,18,189760,64500,254260
2015-05-06,Big Street ATM,20,355930,23620,379550
2015-05-07,Big Street ATM,33,577920,51980,629900
2015-05-08,Big Street ATM,47,638300,78440,716740
2015-05-09,Big Street ATM,48,344880,480060,824940
2015-05-10,Big Street ATM,48,335740,574200,909940
2015-05-11,Big Street ATM,45,524880,286650,811530
2015-05-12,Big Street ATM,45,247450,199000,446450
2015-05-13,Big Street ATM,65,309820,535950,845770
2015-05-14,Big Street ATM,35,225580,449100,674680
2015-05-15,Big Street ATM,42,463720,291150,754870
2015-05-16,Big Street ATM,55,429700,308700,738400
2015-05-17,Big Street ATM,44,610740,255600,866340
2015-05-18,Big Street ATM,53,341420,431550,772970
2015-05-19,Big Street ATM,32,318740,209250,527990
2015-05-20,Big Street ATM,28,453200,58500,511700
2015-05-21,Big Street ATM,18,293220,54000,347220
2015-05-22,Big Street ATM,53,276210,396450,672660
2015-05-23,Big Street ATM,65,432540,625050,1057590
2015-05-24,Big Street ATM,38,310640,288900,599540
2015-05-25,Big Street ATM,58,236920,507600,744520
2015-05-26,Big Street ATM,64,284310,503100,787410
2015-05-27,Big Street ATM,57,204520,277650,482170
2015-05-28,Big Street ATM,41,400540,300150,700690
2015-05-29,Big Street ATM,59,186700,717300,904000
2015-05-30,Big Street ATM,56,336150,340200,676350
2015-05-31,Big Street ATM,52,231260,576000,807260
2015-06-01,Big Street ATM,41,290380,287550,577930
2015-06-02,Big Street ATM,20,370580,74250,444830
2015-06-03,Big Street ATM,22,288760,0,288760
2015-06-04,Big Street ATM,15,188810,0,188810
2015-06-05,Big Street ATM,40,714420,50110,764530
2015-06-06,Big Street ATM,51,303200,468250,771450
2015-06-07,Big Street ATM,63,406540,893970,1300510
2015-06-08,Big Street ATM,99,267480,1082500,1349980
2015-06-09,Big Street ATM,56,228780,745600,974380
2015-06-10,Big Street ATM,89,164430,969300,1133730
2015-06-11,Big Street ATM,76,321570,638100,959670
2015-06-12,Big Street ATM,130,245980,1580230,1826210
2015-06-13,Big Street ATM,66,59130,857250,916380
2015-06-14,Big Street ATM,56,14580,661950,676530
2015-06-15,Big Street ATM,90,249480,1195650,1445130
